Date,Account_Number,Customer_ID,Transaction_Type,Transaction_Amount,Balance,Branch_ID,Department,Invoice_Number,Payment_Method,Tax_Amount,Discount_Amount
2020-01-01,221958,3128,Credit,2269.3131372196826,26787.644556571933,96,Sales,372544,Bank Transfer,410.4245046315644,1.2821649510605826
2020-01-02,771155,3180,Debit,2284.375481428422,23695.463120815744,62,HR,634633,Check,140.7386512254597,79.5544391926648
2020-01-03,231932,1796,Debit,3650.132571853229,12498.018647016617,13,Finance,133896,Check,35.03434786059473,47.71463759890493
2020-01-04,465838,3947,Credit,177.52334965135395,15856.508913591257,81,HR,578646,Credit Card,28.312778688779016,13.088113855357598
2020-01-05,359178,1137,Debit,1771.3411199236807,15208.535828236842,6,Operations,915331,Bank Transfer,60.18907475276691,23.556593459450127
2020-01-06,744167,3231,Debit,4111.66457988424,28601.15761673692,83,HR,599387,Check,290.38429180721084,93.25039530973825
2020-01-07,210268,4472,Credit,3055.775110045524,6877.730958170606,77,Sales,914661,Check,464.3817106027462,85.9502975624898
2020-01-08,832180,2353,Credit,1752.4129505015599,45922.79284441442,60,Operations,610269,Credit Card,248.37171400299223,70.97850502239726
2020-01-09,154886,3832,Debit,4537.071482415402,36312.10211887255,90,Finance,367727,Credit Card,421.4727412280986,48.22252303373266
2020-01-10,237337,4579,Credit,3885.8513645019743,20670.835914746487,14,Finance,613622,Cash,222.9433099299039,52.032362619138574
2020-01-11,621430,2875,Credit,1397.9876914599938,8772.58308179252,95,Operations,171537,Check,354.29177288391264,97.52445352839587
2020-01-12,187498,4031,Credit,3261.9202038760127,44217.61631636016,54,HR,864777,Cash,365.93636864325043,96.57704438842872
2020-01-13,999159,1068,Debit,3019.178568125888,41365.12641495709,4,Finance,497783,Check,86.98185295166932,21.526904578583427
2020-01-14,275203,3593,Debit,2065.820778791015,36364.356083141785,39,Sales,699095,Cash,180.6080294879059,81.11045663053181
2020-01-15,291335,4845,Credit,1898.0847881035234,14305.805323150875,72,Operations,753936,Credit Card,318.651078269012,19.72426661670168
2020-01-16,378167,3100,Debit,1783.4463264009494,20719.885234249778,25,Sales,999084,Bank Transfer,35.34830409218309,21.35374778839514
2020-01-17,141090,2473,Credit,3124.0633386386694,6034.664370168744,77,Operations,570455,Credit Card,180.7700938814783,67.60930341645768
2020-01-18,429365,1204,Debit,2267.8086887552804,10262.936711649054,32,Finance,768689,Cash,267.39973314059625,40.50010985875484
2020-01-19,164820,3173,Credit,4176.129254931968,39367.81522851991,59,HR,332117,Cash,498.1122465223193,93.15444071065203
2020-01-20,887201,4818,Credit,3381.052819056413,36036.89722368351,63,Operations,873068,Bank Transfer,237.26678131122037,8.900973489600883
2020-01-21,421879,1042,Debit,442.66486797622724,30080.8023858208,38,Operations,433936,Check,408.0283785571618,51.152564080949304
2020-01-22,818315,4823,Credit,3236.8242967580136,44890.60957038247,92,Sales,493444,Cash,216.03364253330886,91.85215304431212
2020-01-23,427069,2906,Debit,1428.6224388509056,29580.059372839223,53,Finance,313286,Cash,398.19536130985443,90.41136604795051
2020-01-24,876997,3158,Debit,3004.7787591017714,23881.431998216925,94,Sales,661340,Cash,297.7074008100542,15.652921341574121
2020-01-25,299041,1760,Credit,3432.6464624069117,17678.16656898237,67,Finance,550985,Bank Transfer,443.29772075119917,36.663770009645646
2020-01-26,891743,4734,Credit,1231.0630268546593,47081.97678107246,28,Sales,146032,Credit Card,205.47127617505495,61.912140004669624
